Match_ID,Player_Name,Batting_Runs,Batting_Mins,Batting_BF,Batting_4s,Batting_6s,Batting_SR,Batting_Pos,Batting_Dismissal,Batting_Inns,Batting_Performance,Bowlling_Overs,Bowlling_Mdns,Bowlling_Runs,Bowlling_Wkts,Bowlling_Econ,Bowlling_Pos,Bowlling_Inns,Bowlling_Performance,Opposition,Ground,Start_Date
ODI # 4505,Avishka Fernando,1,8,4,0,0,25,1,caught,2,Low,-,-,-,-,-,-,-,-,v India,Thiruvananthapuram,15-Jan-23
ODI # 4503,Avishka Fernando,20,27,17,4,0,117.64,1,bowled,1,High,-,-,-,-,-,-,-,-,v India,Eden Gardens,12-Jan-23
ODI # 4501,Avishka Fernando,5,17,12,1,0,41.66,2,caught,2,Low,-,-,-,-,-,-,-,-,v India,Guwahati,10-Jan-23
ODI # 4318,Avishka Fernando,10,17,18,2,0,55.55,1,lbw,1,High,-,-,-,-,-,-,-,-,v South Africa,Colombo (RPS),7-Sep-21
ODI # 4315,Avishka Fernando,8,21,15,1,0,53.33,1,caught,2,High,-,-,-,-,-,-,-,-,v South Africa,Colombo (RPS),4-Sep-21
ODI # 4314,Avishka Fernando,118,189,115,10,2,102.6,1,caught,1,High,-,-,-,-,-,-,-,-,v South Africa,Colombo (RPS),2-Sep-21
ODI # 4312,Avishka Fernando,76,172,98,4,1,77.55,1,caught,2,High,-,-,-,-,-,-,-,-,v India,Colombo (RPS),23-Jul-21
ODI # 4309,Avishka Fernando,50,112,71,4,1,70.42,1,caught,1,High,-,-,-,-,-,-,-,-,v India,Colombo (RPS),20-Jul-21
ODI # 4307,Avishka Fernando,33,49,35,2,1,94.28,1,caught,1,High,-,-,-,-,-,-,-,-,v India,Colombo (RPS),18-Jul-21
ODI # 4298,Avishka Fernando,14,25,14,2,0,100,1,lbw,1,High,-,-,-,-,-,-,-,-,v England,Bristol,4-Jul-21
ODI # 4297,Avishka Fernando,2,4,2,0,0,100,3,lbw,1,High,-,-,-,-,-,-,-,-,v England,The Oval,1-Jul-21
ODI # 4250,Avishka Fernando,29,-,34,5,0,85.29,1,caught,1,High,-,-,-,-,-,-,-,-,v West Indies,Pallekele,1-Mar-20
ODI # 4247,Avishka Fernando,127,-,123,10,0,103.25,1,caught,1,High,-,-,-,-,-,-,-,-,v West Indies,Hambantota,26-Feb-20
ODI # 4246,Avishka Fernando,50,-,55,5,1,90.9,1,caught,2,High,-,-,-,-,-,-,-,-,v West Indies,Colombo (SSC),22-Feb-20
ODI # 4212,Avishka Fernando,4,-,6,1,0,66.66,2,caught,1,High,-,-,-,-,-,-,-,-,v Pakistan,Karachi,2-Oct-19
ODI # 4211,Avishka Fernando,0,-,7,0,0,0,3,caught,2,Low,-,-,-,-,-,-,-,-,v Pakistan,Karachi,30-Sep-19
ODI # 4195,Avishka Fernando,6,-,14,0,0,42.85,1,lbw,1,Low,-,-,-,-,-,-,-,-,v Bangladesh,Colombo (RPS),31-Jul-19
ODI # 4194,Avishka Fernando,82,-,75,9,2,109.33,1,caught,2,High,-,-,-,-,-,-,-,-,v Bangladesh,Colombo (RPS),28-Jul-19
ODI # 4193,Avishka Fernando,7,-,13,0,0,53.84,1,caught,1,High,-,-,-,-,-,-,-,-,v Bangladesh,Colombo (RPS),26-Jul-19
ODI # 4187,Avishka Fernando,20,42,21,4,0,95.23,3,caught,1,High,-,-,-,-,-,-,-,-,v India,Leeds,6-Jul-19
ODI # 4180,Avishka Fernando,104,151,103,9,2,100.97,3,caught,1,High,-,-,-,-,-,-,-,-,v West Indies,Chester-le-Street,1-Jul-19
ODI # 4176,Avishka Fernando,30,46,29,4,0,103.44,3,caught,1,High,-,-,-,-,-,-,-,-,v South Africa,Chester-le-Street,28-Jun-19
ODI # 4168,Avishka Fernando,49,50,39,6,2,125.64,3,caught,1,High,-,-,-,-,-,-,-,-,v England,Leeds,21-Jun-19
ODI # 4142,Avishka Fernando,74,-,78,5,3,94.87,1,caught,1,High,-,-,-,-,-,-,-,-,v Scotland,Edinburgh,21-May-19
ODI # 4115,Avishka Fernando,9,16,15,2,0,60,1,caught,1,High,-,-,-,-,-,-,-,-,v South Africa,Cape Town,16-Mar-19
ODI # 4114,Avishka Fernando,29,50,27,5,0,107.4,1,caught,1,High,-,-,-,-,-,-,-,-,v South Africa,Gqeberha,13-Mar-19
ODI # 4112,Avishka Fernando,23,32,26,4,0,88.46,1,caught,2,High,-,-,-,-,-,-,-,-,v South Africa,Durban,10-Mar-19
ODI # 4107,Avishka Fernando,10,23,9,1,1,111.11,2,bowled,2,High,-,-,-,-,-,-,-,-,v South Africa,Centurion,6-Mar-19
ODI # 4786,Charith Asalanka,6,-,3,0,1,200,4,caught,1,High,2,0,19,0,9.5,7,2,High,v West Indies,Pallekele,26-Oct-24
ODI # 4784,Charith Asalanka,62,77,61,7,1,101.63,5,not out,2,High,4,0,26,0,6.5,5,1,High,v West Indies,Pallekele,23-Oct-24
ODI # 4783,Charith Asalanka,77,87,71,8,3,108.45,5,lbw,2,High,10,0,56,1,5.6,6,1,High,v West Indies,Pallekele,20-Oct-24
ODI # 4754,Charith Asalanka,10,9,12,0,1,83.33,4,lbw,1,High,3,1,2,0,0.66,5,2,Low,v India,Colombo (RPS),7-Aug-24
ODI # 4753,Charith Asalanka,25,72,42,3,0,59.52,5,caught,1,High,6.2,2,20,3,3.15,6,2,Low,v India,Colombo (RPS),4-Aug-24
ODI # 4752,Charith Asalanka,14,19,21,2,0,66.66,5,caught,1,High,8.5,0,30,3,3.39,6,2,Low,v India,Colombo (RPS),2-Aug-24
ODI # 4745,Charith Asalanka,37,71,46,5,0,80.43,5,caught,1,High,1,0,8,0,8,6,2,High,v Bangladesh,Chattogram,18-Mar-24
ODI # 4744,Charith Asalanka,91,145,93,6,4,97.84,5,caught,2,High,2,0,10,0,5,5,1,High,v Bangladesh,Chattogram,15-Mar-24
ODI # 4743,Charith Asalanka,18,53,37,2,0,48.64,5,bowled,1,Low,DNB,-,-,-,-,-,2,-,v Bangladesh,Chattogram,13-Mar-24
ODI # 4729,Charith Asalanka,7,8,13,0,0,53.84,5,not out,2,High,3,0,17,0,5.66,7,1,High,v Afghanistan,Pallekele,14-Feb-24
ODI # 4727,Charith Asalanka,97,95,74,9,2,131.08,5,not out,1,High,DNB,-,-,-,-,-,2,-,v Afghanistan,Pallekele,11-Feb-24
ODI # 4725,Charith Asalanka,7,13,8,0,0,87.5,5,not out,1,High,0.3,0,3,0,6,7,2,High,v Afghanistan,Pallekele,9-Feb-24
ODI # 4720,Charith Asalanka,DNB,-,-,-,-,-,-,-,2,-,DNB,-,-,-,-,-,1,-,v Zimbabwe,Colombo (RPS),11-Jan-24
ODI # 4719,Charith Asalanka,0,9,7,0,0,0,5,caught,2,Low,2,0,18,0,9,8,1,High,v Zimbabwe,Colombo (RPS),8-Jan-24
ODI # 4718,Charith Asalanka,101,132,95,5,4,106.31,5,run out,1,High,DNB,-,-,-,-,-,2,-,v Zimbabwe,Colombo (RPS),6-Jan-24
ODI # 4698,Charith Asalanka,8,16,8,1,0,100,5,lbw,1,High,DNB,-,-,-,-,-,2,-,v New Zealand,Bengaluru,9-Nov-23
ODI # 4695,Charith Asalanka,108,159,105,6,5,102.85,5,caught,1,High,DNB,-,-,-,-,-,2,-,v Bangladesh,Delhi,6-Nov-23
ODI # 4690,Charith Asalanka,1,42,24,0,0,4.16,5,caught,2,Low,DNB,-,-,-,-,-,1,-,v India,Wankhede,2-Nov-23
ODI # 4687,Charith Asalanka,22,48,28,2,0,78.57,5,caught,1,High,DNB,-,-,-,-,-,2,-,v Afghanistan,Pune,30-Oct-23
ODI # 4682,Charith Asalanka,DNB,-,-,-,-,-,-,-,2,-,DNB,-,-,-,-,-,1,-,v England,Bengaluru,26-Oct-23
ODI # 4676,Charith Asalanka,44,70,66,2,1,66.66,5,bowled,2,High,DNB,-,-,-,-,-,1,-,v Netherlands,Lucknow,21-Oct-23
ODI # 4671,Charith Asalanka,25,75,39,0,1,64.1,5,caught,1,High,DNB,-,-,-,-,-,2,-,v Australia,Lucknow,16-Oct-23
ODI # 4665,Charith Asalanka,1,5,3,0,0,33.33,5,caught,1,Low,1,0,10,0,10,7,2,High,v Pakistan,Hyderabad,10-Oct-23
ODI # 4661,Charith Asalanka,79,83,65,8,4,121.53,5,caught,2,High,DNB,-,-,-,-,-,1,-,v South Africa,Delhi,7-Oct-23
ODI # 4649,Charith Asalanka,0,1,1,0,0,0,5,caught,1,Low,0.1,0,1,0,6,4,2,High,v India,Colombo (RPS),17-Sep-23
ODI # 4644,Charith Asalanka,49,68,47,3,1,104.25,5,not out,2,High,DNB,-,-,-,-,-,1,-,v Pakistan,Colombo (RPS),14-Sep-23
ODI # 4641,Charith Asalanka,22,59,35,2,0,62.85,5,caught,2,High,9,1,18,4,2,7,1,Low,v India,Colombo (RPS),12-Sep-23
ODI # 4637,Charith Asalanka,10,25,23,1,0,43.47,5,caught,1,Low,DNB,-,-,-,-,-,2,-,v Bangladesh,Colombo (RPS),9-Sep-23
ODI # 4633,Charith Asalanka,36,66,43,2,1,83.72,5,caught,1,High,DNB,-,-,-,-,-,2,-,v Afghanistan,Lahore,5-Sep-23
ODI # 4629,Charith Asalanka,62,118,92,5,1,67.39,5,not out,2,High,DNB,-,-,-,-,-,1,-,v Bangladesh,Pallekele,31-Aug-23
ODI # 4620,Charith Asalanka,36,51,36,4,0,100,5,run out,1,High,DNB,-,-,-,-,-,2,-,v Netherlands,Harare,9-Jul-23
ODI # 4618,Charith Asalanka,DNB,-,-,-,-,-,-,-,2,-,DNB,-,-,-,-,-,1,-,v West Indies,Harare,7-Jul-23
ODI # 4609,Charith Asalanka,DNB,-,-,-,-,-,-,-,2,-,DNB,-,-,-,-,-,1,-,v Zimbabwe,Bulawayo,2-Jul-23
ODI # 4606,Charith Asalanka,2,12,8,0,0,25,5,caught,1,Low,DNB,-,-,-,-,-,2,-,v Netherlands,Bulawayo,30-Jun-23
ODI # 4603,Charith Asalanka,63,79,65,4,2,96.92,5,caught,1,High,DNB,-,-,-,-,-,2,-,v Scotland,Bulawayo,27-Jun-23
ODI # 4599,Charith Asalanka,38,45,30,1,2,126.66,5,caught,1,High,DNB,-,-,-,-,-,2,-,v Ireland,Bulawayo,25-Jun-23
ODI # 4595,Charith Asalanka,DNB,-,-,-,-,-,-,-,2,-,DNB,-,-,-,-,-,1,-,v Oman,Bulawayo,23-Jun-23
ODI # 4587,Charith Asalanka,48,-,23,5,2,208.69,5,not out,1,High,DNB,-,-,-,-,-,2,-,v U.A.E.,Bulawayo,19-Jun-23
ODI # 4583,Charith Asalanka,DNB,-,-,-,-,-,-,-,2,-,DNB,-,-,-,-,-,1,-,v Afghanistan,Hambantota,7-Jun-23
ODI # 4580,Charith Asalanka,6,9,12,0,0,50,5,lbw,1,High,DNB,-,-,-,-,-,2,-,v Afghanistan,Hambantota,4-Jun-23
ODI # 4579,Charith Asalanka,91,156,95,12,0,95.78,5,run out,1,High,DNB,-,-,-,-,-,2,-,v Afghanistan,Hambantota,2-Jun-23
ODI # 4557,Charith Asalanka,9,31,21,2,0,42.85,5,caught,1,Low,DNB,-,-,-,-,-,2,-,v New Zealand,Hamilton,31-Mar-23
ODI # 4548,Charith Asalanka,9,10,12,2,0,75,5,caught,2,High,DNB,-,-,-,-,-,1,-,v New Zealand,Auckland,25-Mar-23
ODI # 4505,Charith Asalanka,1,11,4,0,0,25,4,caught,2,Low,DNB,-,-,-,-,-,1,-,v India,Thiruvananthapuram,15-Jan-23
ODI # 4503,Charith Asalanka,15,27,21,1,0,71.42,5,caught,1,High,DNB,-,-,-,-,-,2,-,v India,Eden Gardens,12-Jan-23
ODI # 4501,Charith Asalanka,23,39,28,3,0,82.14,4,caught,2,High,DNB,-,-,-,-,-,1,-,v India,Guwahati,10-Jan-23
ODI # 4490,Charith Asalanka,83,137,72,5,4,115.27,5,not out,2,High,DNB,-,-,-,-,-,1,-,v Afghanistan,Pallekele,30-Nov-22
ODI # 4488,Charith Asalanka,DNB,-,-,-,-,-,-,-,2,-,DNB,-,-,-,-,-,1,-,v Afghanistan,Pallekele,27-Nov-22
ODI # 4485,Charith Asalanka,10,21,18,0,0,55.55,5,caught,2,High,DNB,-,-,-,-,-,1,-,v Afghanistan,Pallekele,25-Nov-22
ODI # 4418,Charith Asalanka,14,30,27,1,0,51.85,5,run out,1,High,4,0,18,0,4.5,6,2,High,v Australia,Colombo (RPS),24-Jun-22
ODI # 4416,Charith Asalanka,110,182,106,10,1,103.77,5,caught,1,High,1,0,7,0,7,7,2,High,v Australia,Colombo (RPS),21-Jun-22
ODI # 4415,Charith Asalanka,13,26,12,0,1,108.33,5,not out,2,High,DNB,-,-,-,-,-,1,-,v Australia,Colombo (RPS),19-Jun-22
ODI # 4412,Charith Asalanka,13,37,27,1,0,48.14,5,caught,1,Low,DNB,-,-,-,-,-,2,-,v Australia,Pallekele,16-Jun-22
ODI # 4409,Charith Asalanka,37,64,42,4,0,88.09,5,caught,1,High,DNB,-,-,-,-,-,2,-,v Australia,Pallekele,14-Jun-22
ODI # 4347,Charith Asalanka,52,79,56,5,0,92.85,5,caught,1,High,DNB,-,-,-,-,-,2,-,v Zimbabwe,Pallekele,21-Jan-22
ODI # 4343,Charith Asalanka,23,30,21,2,1,109.52,5,bowled,2,High,2,0,15,0,7.5,8,1,High,v Zimbabwe,Pallekele,18-Jan-22
ODI # 4341,Charith Asalanka,71,113,68,6,2,104.41,5,lbw,2,High,3,0,13,0,4.33,8,1,High,v Zimbabwe,Pallekele,16-Jan-22
ODI # 4318,Charith Asalanka,47,114,71,2,0,66.19,5,caught,1,High,1,0,3,1,3,6,2,Low,v South Africa,Colombo (RPS),7-Sep-21
ODI # 4315,Charith Asalanka,77,108,69,5,3,111.59,5,caught,2,High,DNB,-,-,-,-,-,1,-,v South Africa,Colombo (RPS),4-Sep-21
ODI # 4314,Charith Asalanka,72,93,62,6,1,116.12,5,caught,1,High,DNB,-,-,-,-,-,2,-,v South Africa,Colombo (RPS),2-Sep-21
ODI # 4312,Charith Asalanka,24,37,28,3,0,85.71,5,lbw,2,High,DNB,-,-,-,-,-,1,-,v India,Colombo (RPS),23-Jul-21
ODI # 4309,Charith Asalanka,65,102,68,6,0,95.58,5,caught,1,High,DNB,-,-,-,-,-,2,-,v India,Colombo (RPS),20-Jul-21
ODI # 4307,Charith Asalanka,38,77,65,1,0,58.46,5,caught,1,High,3,0,26,0,8.66,5,2,High,v India,Colombo (RPS),18-Jul-21
ODI # 4297,Charith Asalanka,3,15,11,0,0,27.27,5,caught,1,Low,DNB,-,-,-,-,-,2,-,v England,The Oval,1-Jul-21
ODI # 4296,Charith Asalanka,0,6,6,0,0,0,3,caught,1,Low,DNB,-,-,-,-,-,2,-,v England,Chester-le-Street,29-Jun-21
ODI # 4719,Dasun Shanaka,7,16,13,0,0,53.84,7,caught,2,High,4,0,14,0,3.5,5,1,Low,v Zimbabwe,Colombo (RPS),8-Jan-24
ODI # 4718,Dasun Shanaka,8,27,19,0,0,42.1,7,caught,1,Low,DNB,-,-,-,-,-,2,-,v Zimbabwe,Colombo (RPS),6-Jan-24
ODI # 4665,Dasun Shanaka,12,23,18,0,0,66.66,7,caught,1,High,5,0,28,0,5.6,3,2,High,v Pakistan,Hyderabad,10-Oct-23
ODI # 4661,Dasun Shanaka,68,86,62,6,3,109.67,7,bowled,2,High,6,0,36,0,6,3,1,High,v South Africa,Delhi,7-Oct-23
ODI # 4649,Dasun Shanaka,0,7,4,0,0,0,7,bowled,1,Low,DNB,-,-,-,-,-,2,-,v India,Colombo (RPS),17-Sep-23
ODI # 4644,Dasun Shanaka,2,12,4,0,0,50,6,caught,2,High,3,0,18,0,6,3,1,High,v Pakistan,Colombo (RPS),14-Sep-23
ODI # 4641,Dasun Shanaka,9,21,13,1,0,69.23,7,caught,2,High,3,0,24,0,8,3,1,High,v India,Colombo (RPS),12-Sep-23
ODI # 4637,Dasun Shanaka,24,38,32,1,0,75,7,bowled,1,High,9,0,28,3,3.11,3,2,Low,v Bangladesh,Colombo (RPS),9-Sep-23
ODI # 4633,Dasun Shanaka,5,6,8,1,0,62.5,7,bowled,1,High,2,0,32,0,16,5,2,High,v Afghanistan,Lahore,5-Sep-23
ODI # 4629,Dasun Shanaka,14,27,21,1,0,66.66,7,not out,2,High,3,0,16,1,5.33,6,1,High,v Bangladesh,Pallekele,31-Aug-23
ODI # 4620,Dasun Shanaka,1,2,2,0,0,50,7,caught,1,High,DNB,-,-,-,-,-,2,-,v Netherlands,Harare,9-Jul-23
ODI # 4618,Dasun Shanaka,DNB,-,-,-,-,-,-,-,2,-,3.1,0,27,1,8.52,2,1,High,v West Indies,Harare,7-Jul-23
ODI # 4609,Dasun Shanaka,DNB,-,-,-,-,-,-,-,2,-,5,0,30,1,6,2,1,High,v Zimbabwe,Bulawayo,2-Jul-23
ODI # 4606,Dasun Shanaka,5,28,20,0,0,25,7,lbw,1,Low,4,0,18,1,4.5,4,2,High,v Netherlands,Bulawayo,30-Jun-23
ODI # 4603,Dasun Shanaka,0,1,1,0,0,0,7,caught,1,Low,1,1,0,1,0,5,2,Low,v Scotland,Bulawayo,27-Jun-23
ODI # 4599,Dasun Shanaka,5,11,7,0,0,71.42,7,caught,1,High,5,0,21,1,4.2,3,2,High,v Ireland,Bulawayo,25-Jun-23
ODI # 4595,Dasun Shanaka,DNB,-,-,-,-,-,-,-,2,-,2,0,10,0,5,4,1,High,v Oman,Bulawayo,23-Jun-23
ODI # 4587,Dasun Shanaka,1,-,3,0,0,33.33,6,caught,1,Low,5,0,22,0,4.4,4,2,High,v U.A.E.,Bulawayo,19-Jun-23
ODI # 4583,Dasun Shanaka,DNB,-,-,-,-,-,-,-,2,-,DNB,-,-,-,-,-,1,-,v Afghanistan,Hambantota,7-Jun-23
ODI # 4580,Dasun Shanaka,23,19,13,2,1,176.92,7,caught,1,High,4,0,29,1,7.25,4,2,High,v Afghanistan,Hambantota,4-Jun-23
ODI # 4579,Dasun Shanaka,17,24,16,1,0,106.25,7,bowled,1,High,4.3,0,32,0,7.11,4,2,High,v Afghanistan,Hambantota,2-Jun-23
ODI # 4557,Dasun Shanaka,31,54,36,2,2,86.11,7,caught,1,High,7.2,1,25,1,3.4,4,2,Low,v New Zealand,Hamilton,31-Mar-23
ODI # 4548,Dasun Shanaka,0,1,1,0,0,0,6,caught,2,Low,5,1,16,1,3.2,6,1,Low,v New Zealand,Auckland,25-Mar-23
ODI # 4505,Dasun Shanaka,11,42,26,2,0,42.3,5,bowled,2,Low,3,0,19,0,6.33,6,1,High,v India,Thiruvananthapuram,15-Jan-23
ODI # 4503,Dasun Shanaka,2,8,4,0,0,50,6,bowled,1,High,2,0,6,0,3,6,2,Low,v India,Eden Gardens,12-Jan-23
ODI # 4501,Dasun Shanaka,108,112,88,12,3,122.72,6,not out,2,High,3,0,22,1,7.33,6,1,High,v India,Guwahati,10-Jan-23
ODI # 4490,Dasun Shanaka,43,55,44,5,0,97.72,6,bowled,2,High,1,0,5,0,5,7,1,High,v Afghanistan,Pallekele,30-Nov-22
ODI # 4488,Dasun Shanaka,DNB,-,-,-,-,-,-,-,2,-,DNB,-,-,-,-,-,1,-,v Afghanistan,Pallekele,27-Nov-22
ODI # 4485,Dasun Shanaka,16,37,27,2,0,59.25,6,caught,2,High,3,0,19,0,6.33,4,1,High,v Afghanistan,Pallekele,25-Nov-22
ODI # 4418,Dasun Shanaka,1,11,3,0,0,33.33,6,bowled,1,Low,DNB,-,-,-,-,-,2,-,v Australia,Colombo (RPS),24-Jun-22
ODI # 4416,Dasun Shanaka,4,20,8,0,0,50,6,run out,1,High,2,0,27,1,13.5,8,2,High,v Australia,Colombo (RPS),21-Jun-22
ODI # 4415,Dasun Shanaka,0,3,2,0,0,0,6,bowled,2,Low,1,0,10,0,10,7,1,High,v Australia,Colombo (RPS),19-Jun-22
ODI # 4412,Dasun Shanaka,34,58,36,5,0,94.44,6,caught,1,High,DNB,-,-,-,-,-,2,-,v Australia,Pallekele,16-Jun-22
ODI # 4409,Dasun Shanaka,6,16,7,1,0,85.71,6,caught,1,High,4,0,27,1,6.75,7,2,High,v Australia,Pallekele,14-Jun-22
ODI # 4347,Dasun Shanaka,15,34,23,1,0,65.21,6,caught,1,High,DNB,-,-,-,-,-,2,-,v Zimbabwe,Pallekele,21-Jan-22
ODI # 4343,Dasun Shanaka,102,129,94,7,4,108.51,6,caught,2,High,2,0,14,0,7,3,1,High,v Zimbabwe,Pallekele,18-Jan-22
ODI # 4341,Dasun Shanaka,10,18,12,1,0,83.33,6,not out,2,High,4,0,34,0,8.5,4,1,High,v Zimbabwe,Pallekele,16-Jan-22
ODI # 4318,Dasun Shanaka,13,18,12,1,0,108.33,6,caught,1,High,DNB,-,-,-,-,-,2,-,v South Africa,Colombo (RPS),7-Sep-21
ODI # 4315,Dasun Shanaka,30,50,41,2,0,73.17,6,caught,2,High,3,0,21,0,7,6,1,High,v South Africa,Colombo (RPS),4-Sep-21
ODI # 4314,Dasun Shanaka,6,16,9,1,0,66.66,6,run out,1,High,2,0,14,0,7,6,2,High,v South Africa,Colombo (RPS),2-Sep-21
ODI # 4312,Dasun Shanaka,0,6,1,0,0,0,6,caught,2,Low,8,0,33,1,4.12,5,1,High,v India,Colombo (RPS),23-Jul-21
ODI # 4309,Dasun Shanaka,16,38,24,1,0,66.66,6,bowled,1,High,3,0,10,1,3.33,6,2,Low,v India,Colombo (RPS),20-Jul-21
ODI # 4307,Dasun Shanaka,39,82,50,2,1,78,6,caught,1,High,DNB,-,-,-,-,-,2,-,v India,Colombo (RPS),18-Jul-21
ODI # 4298,Dasun Shanaka,48,122,65,2,2,73.84,7,not out,1,High,TDNB,-,-,-,-,-,-,-,v England,Bristol,4-Jul-21
ODI # 4297,Dasun Shanaka,47,100,67,2,1,70.14,7,caught,1,High,DNB,-,-,-,-,-,2,-,v England,The Oval,1-Jul-21
ODI # 4296,Dasun Shanaka,1,14,9,0,0,11.11,4,caught,1,Low,DNB,-,-,-,-,-,2,-,v England,Chester-le-Street,29-Jun-21
ODI # 4291,Dasun Shanaka,11,19,19,0,1,57.89,7,caught,2,High,7,0,38,0,5.42,4,1,High,v Bangladesh,Mirpur,25-May-21
ODI # 4290,Dasun Shanaka,14,35,25,1,0,56,7,bowled,2,High,DNB,-,-,-,-,-,1,-,v Bangladesh,Mirpur,23-May-21
ODI # 4278,Dasun Shanaka,22,41,27,1,0,81.48,5,bowled,1,High,DNB,-,-,-,-,-,2,-,v West Indies,North Sound,14-Mar-21
ODI # 4212,Dasun Shanaka,43,-,24,5,2,179.16,7,caught,1,High,5,0,28,0,5.6,2,2,High,v Pakistan,Karachi,2-Oct-19
ODI # 4211,Dasun Shanaka,68,-,80,6,2,85,7,caught,2,High,DNB,-,-,-,-,-,1,-,v Pakistan,Karachi,30-Sep-19
ODI # 4195,Dasun Shanaka,30,-,14,2,2,214.28,6,caught,1,High,6,0,27,3,4.5,4,2,High,v Bangladesh,Colombo (RPS),31-Jul-19
